,Customer ID,Gender,Age,Under 30,Senior Citizen,Tenure in Months,Contract,Internet Service,Avg Monthly Long Distance Charges,Monthly Charge,Total Charges,Satisfaction Score,CLTV,Customer Status
0,8779-QRDMV,Male,78,No,Yes,1,Month-to-Month,Yes,0.0,39.65,39.65,3,5433,Churned
1,7495-OOKFY,Female,74,No,Yes,8,Month-to-Month,Yes,48.85,80.65,633.3,3,5302,Churned
2,1658-BYGOY,Male,71,No,Yes,18,Month-to-Month,Yes,11.33,95.45,1752.55,2,3179,Churned
3,4598-XLKNJ,Female,78,No,Yes,25,Month-to-Month,Yes,19.76,98.5,2514.5,2,5337,Churned
4,4846-WHAFZ,Female,80,No,Yes,37,Month-to-Month,Yes,6.33,76.5,2868.15,2,2793,Churned
5,4412-YLTKF,Female,72,No,Yes,27,Month-to-Month,Yes,3.33,78.05,2135.5,1,4638,Churned
6,0390-DCFDQ,Female,76,No,Yes,1,Month-to-Month,Yes,15.28,70.45,70.45,2,3964,Churned
7,3445-HXXGF,Male,66,No,Yes,58,Month-to-Month,Yes,0.0,45.3,2651.2,1,5444,Churned
8,2656-FMOKZ,Female,70,No,Yes,15,Month-to-Month,Yes,44.07,74.45,1145.7,2,5717,Churned
9,2070-FNEXE,Female,77,No,Yes,7,Month-to-Month,Yes,26.95,76.45,503.6,2,4419,Churned
10,0094-OIFMO,Female,78,No,Yes,11,Month-to-Month,Yes,11.59,95.0,1120.3,1,5980,Churned
11,9947-OTFQU,Male,65,No,Yes,15,Month-to-Month,Yes,29.11,74.4,1074.3,1,4616,Churned
12,9514-JDSKI,Male,77,No,Yes,1,Month-to-Month,Yes,0.0,40.2,40.2,2,5828,Churned
13,7273-TEFQD,Male,67,No,Yes,3,Month-to-Month,Yes,0.0,41.15,132.2,2,2314,Churned
14,3606-TWKGI,Male,68,No,Yes,13,Month-to-Month,Yes,32.68,106.9,1364.3,1,2494,Churned
15,4385-GZQXV,Female,68,No,Yes,16,Month-to-Month,Yes,9.43,94.45,1511.2,1,3810,Churned
16,3488-PGMQJ,Male,66,No,Yes,8,Month-to-Month,Yes,1.78,74.5,606.55,2,4345,Churned
